Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0887,Karnataka State Rural Development and Panchayat Raj University,Karnataka,Gadag,www.ksrdpru.ac.in,2016,Urban,ksrdpru
U-0624,Karnataka State Dr. Gangubai Hangal Music And Performing Arts University,Karnataka,Mysuru,www.musicuniversity.ac.in,2007,Urban,musicuniversity
U-0625,Karnataka Sanskrit University,Karnataka,Bengaluru Urban,"www.ksu.karnataka.gov.in, www.ksu.ac.in",2010,Urban,ksu
U-0733,"PES UNIVERSITY, BANGLORE",Karnataka,Bengaluru Urban,www.pes.edu,1988,Urban,pes
U-0935,SRINIVAS UNIVERSITY,Karnataka,Dakshina Kannada,www.srinivasuniversity.edu.in,2013,Urban,srinivasuniversity
U-0876,"PRESIDENCY UNIVERSITY , BENGALURU",Karnataka,Bengaluru Urban,www.presidencyuniversity.in,2014,Urban,presidencyuniversity
U-0235,"University of Mysore, Mysore",Karnataka,Mysuru,www.uni-mysore.ac.in,1916,Urban,unimysore
U-0243,"Swami Vivekananda Yoga Anusandhana Samsthan, Bangalore",Karnataka,Bengaluru Urban,www.svyasa.edu.in,2002,Rural,svyasa
U-0856,DAYANANDA SAGAR UNIVERSITY,Karnataka,Bengaluru Urban,www.dsu.edu.in,2014,Rural,dsu
U-0723,"CMR UNIVERSITY, BANGALORE",Karnataka,Bengaluru Urban,www.cmr.edu.in,2013,Urban,cmr
U-0725,"REVA UNIVERSITY, BANGALORE",Karnataka,Bengaluru Urban,www.reva.edu.in,2013,Urban,reva
U-0726,"RAI TECHNOLOGY UNIVERSITY, BANGALORE",Karnataka,Bengaluru Urban,www.raitechuniversity.in,2014,Rural,raitechuniversity
U-0601,"Azim Premji University, Bangalore",Karnataka,Bengaluru Urban,azimpremjiuniversity.edu.in,2010,Urban,azimpremjiuniversity
U-1156,RV UNIVERSITY,Karnataka,Bengaluru Urban,rvu.edu.in,2021,Urban,rvu
U-1164,RAICHUR UNIVERSITY,Karnataka,Raichur,raichuruniversity.ac.in,2020,Rural,raichuruniversity
U-0602,"Rani Channamma University, Belagavi",Karnataka,Belagavi,www.rcub.ac.in,2010,Rural,rcub
U-1202,CHANAKYA UNIVERSITY,Karnataka,Bengaluru Rural,www.chanakyauniversity.edu.in,-,Rural,chanakyauniversity
U-0241,"Sri Devaraj Urs Academy of Higher Education and Research, Kolar",Karnataka,Kolar,www.sduaher.ac.in,1986,Rural,sduaher
U-1229,St. Joseph's University,Karnataka,Bengaluru Urban,sju.edu.in,-,Urban,sju
U-1241,SRI SATHYA SAI UNIVERSITY FOR HUMAN EXCELLENCE,Karnataka,Kalaburagi,sssuhe.ac.in,-,Rural,sssuhe
U-1244,KOPPAL UNIVERSITY,Karnataka,Koppal,www.koppaluniversity.ac.in,-,Urban,koppaluniversity
U-1251,KODAGU UNIVERSITY,Karnataka,Kodagu,kuk.karnataka.gov.in,-,Rural,kuk1
U-0854,KLE TECHNOLOGICAL UNIVERSITY,Karnataka,Dharwad,www.kletech.ac.in,2015,Urban,kletech
U-0659,"KARNATAKA JANAPADA VISHWAVIDYALAYA, GOTAGODI",Karnataka,Haveri,www.janapadauniversity.ac.in,2011,Rural,janapadauniversity
U-0221,"International Institute of Information Technology, Bangalore",Karnataka,Bengaluru Rural,www.iiitb.ac.in,1998,Urban,iiitb
U-0216,"Central University of Karnataka, Gulbarga",Karnataka,Kalaburagi,www.cuk.ac.in,2009,Rural,cuk
U-0630,KERALA UNIVERSITY OF HEALTH AND ALLIED SCIENCES,Kerala,Thrissur,kuhs.ac.in,2009,Rural,kuhs
U-0266,"Sree Chitra Tirunal Institute for Medical Sciences and Technology, Thiruvananthapuram",Kerala,Thiruvananthapuram,www.sctimst.ac.in,1980,Urban,sctimst
U-0786,A P J ABDUL KALAM TECHNOLOGICAL UNIVERSITY,Kerala,Thiruvananthapuram,www.ktu.edu.in,2014,Urban,ktu
U-0256,"Kannur University, Kannur",Kerala,Kannur,www.kannuruniversity.ac.in,1996,Rural,kannuruniversity
U-0264,"National University of Advanced Legal Studies, Kochi",Kerala,Ernakulam,www.nuals.ac.in,2002,Urban,nuals
U-1154,KERALA UNIVERSITY OF DIGITAL SCIENCES INNOVATION AND TECHNOLOGY,Kerala,Thiruvananthapuram,www.duk.ac.in,2020,Rural,duk
U-0253,"Cochin University of Science & Technology, Kochi",Kerala,Ernakulam,www.cusat.ac.in,1971,Urban,cusat
U-0258,"Kerala Kalamandalam, Thrissur",Kerala,Thrissur,www.kalamandalam.ac.in,1930,Rural,kalamandalam
U-0261,"Kerala Veterinary & Animal Science University, Wayanad",Kerala,Wayanad,www.kvasu.ac.in,2010,Rural,kvasu
U-0259,"Kerala University of Fisheries & Ocean Studies, Kochi",Kerala,Ernakulam,www.kufos.ac.in,2010,Rural,kufos
U-0802,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, KOTTAYAM",Kerala,Kottayam,www.iiitkottayam.ac.in,2015,Rural,iiitkottayam
U-0265,"Sree Sankaracharya University of Sanskrit, Kalady",Kerala,Ernakulam,ssus.ac.in,1993,Rural,ssus
U-0263,"National Institute of Technology, Calicut",Kerala,Kozhikode,www.nitc.ac.in,1961,Rural,nitc
U-0262,"Mahatma Gandhi University, Kottayam",Kerala,Kottayam,www.mgu.ac.in,1983,Rural,mgu
U-0255,"Indian Institute of Space Science and Technology, Thiruvananthapuram",Kerala,Thiruvananthapuram,www.iist.ac.in,2007,Rural,iist
U-0903,Chinmaya Vishwavidyapeeth,Kerala,Ernakulam,www.cvv.ac.in,2017,Rural,cvv
U-0257,"Kerala Agricultural University, Thrissur",Kerala,Thrissur,kau.in,1972,Rural,kau
U-1013,INDIAN INSTITUTE OF MANAGEMENT KOZHIKODE,Kerala,Kozhikode,www.iimk.ac.in,1996,Urban,iimk
U-0252,"Central Univeristy of Kerala, Kasaragod",Kerala,Kasaragod,www.cukerala.ac.in,2009,Rural,cukerala
U-0716,"THUNCHATH EZHUTHACHAN MALAYALAM UNIVERSITY, TIRUR",Kerala,Malappuram,www.malayalamuniversity.edu.in,2012,Rural,malayalamuniversity
U-0260,"University of Kerala, Thiruvananthapuram",Kerala,Thiruvananthapuram,www.keralauniversity.ac.in,1937,Urban,keralauniversity
U-0254,"Indian Institute of Science Education & Research (IISER), Thiruvananthapuram",Kerala,Thiruvananthapuram,www.iisertvm.ac.in,2008,Rural,iisertvm
U-0251,"UNIVERSITY OF CALICUT, MALAPPURAM",Kerala,Malappuram,www.uoc.ac.in,1968,Rural,uoc
U-0878,"Indian Institute of Technology, Palakkad",Kerala,Palakkad,iitpkd.ac.in,2015,Rural,iitpkd
U-1130,SREENARAYANAGURU OPEN UNIVERSITY,Kerala,Kollam,www.sgou.ac.in,2020,Urban,sgou
U-1097,UNIVERSITY OF LADAKH,Ladakh,Leh Ladakh,Uol.ac.in,2019,Urban,uol
U-1025,CENTRAL INSTITUTE OF BUDDHIST STUDIES,Ladakh,Leh Ladakh,www.cibs.ac.in,1959,Urban,cibs
U-0629,"Raja Mansingh  Tomar Music & Arts University, Gwalior",Madhya Pradesh,Gwalior,www.rmtmusicandartsuniversity.com,2008,Urban,rmtmusicandartsuniversity
U-0655,PEOPLES UNIVERSITY,Madhya Pradesh,Bhopal,www.peoplesuniversity.edu.in,2011,Urban,peoplesuniversity
U-1242,SCOPE GLOBAL SKILLS UNIVERSITY,Madhya Pradesh,Bhopal,sgsuniversity.ac.in,-,Urban,sgsuniversity
U-1351,Gyanveer University,Madhya Pradesh,Sagar,gyanveeruniversity.edu.in,-,Rural,gyanveeruniversity
U-1384,Krantisurya Tantya Bhil University,Madhya Pradesh,Khargone (West Nimar),ktbuniv.ac.in,-,Urban,ktbuniv
U-1352,Aryavart University,Madhya Pradesh,Sehore,www.auindia.ac.in,-,Rural,auindia
U-1105,MANGALAYATAN UNIVERSITY,Madhya Pradesh,Jabalpur,mangalayatan.ac.in,2019,Rural,mangalayatan
U-0661,SWAMI VIVEKANAND UNIVERSITY,Madhya Pradesh,Sagar,www.svnuniversity.co.in,2011,Rural,svnuniversity
U-0289,"Rani Durgavati Vishwavidyalaya, Jabalpur",Madhya Pradesh,Jabalpur,www.rdunijbpin.org,1956,Urban,rdunijbpin
U-0288,"Rajmata Vijayaraje Scindia Krishi Vishwa Vidyalaya, Gwalior",Madhya Pradesh,Gwalior,www.rvskvv.net,2008,Urban,rvskvv
U-0279,"Nanaji Deshmukh Pashu Chikitsa Vigyan Vishwavidalaya, Jabalpur",Madhya Pradesh,Jabalpur,www.ndvsu.org,2009,Urban,ndvsu
U-0267,"Atal Bihari Vajpayee Indian Institute of Information Technology and Management, Gwalior",Madhya Pradesh,Gwalior,www.iiitm.ac.in,1997,Urban,iiitm
U-1266,ABHYUDAY UNIVERSITY,Madhya Pradesh,Khargone (West Nimar),abhyudayuniversity.edu.in,-,Rural,abhyudayuniversity
U-0287,"Rajiv Gandhi Prodoyogiki Vishwavidyalaya, Bhopal",Madhya Pradesh,Bhopal,www.rgpv.ac.in,1999,Urban,rgpv
U-0687,"ALL INDIA INSTITUTE OF MEDICAL SCIENCES, BHOPAL",Madhya Pradesh,Bhopal,www.aiimsbhopal.edu.in,2012,Urban,aiimsbhopal
U-0285,"National Law Institute University, Bhopal",Madhya Pradesh,Bhopal,www.nliu.ac.in,1997,Rural,nliu
U-1256,CHIRAYU UNIVERSITY,Madhya Pradesh,Bhopal,www.chirayuuniversity.ac.in,-,Urban,chirayuuniversity
U-0282,"Mahatama Gandhi Gramodaya Vishwavidyalaya, Chitrakoot, Satna",Madhya Pradesh,Satna,www.gramodayachitrakoot.ac.in,1991,Rural,gramodayachitrakoot
U-1064,IES UNIVERSITY,Madhya Pradesh,Bhopal,www.iesuniversity.ac.in,2019,Rural,iesuniversity
U-0729,"TECHNO GLOBAL UNIVERSITY, SIRONG",Madhya Pradesh,Vidisha,www.technoglobaluniversitysironjmp.com,2012,Rural,technoglobaluniversitysironjmp
U-0862,Dr. A.P.J. ABDUL KALAM UNIVERSITY,Madhya Pradesh,Indore,www.aku.ac.in,2016,Urban,aku
U-0284,"Maulana Azad National Institute of Technology, Bhopal",Madhya Pradesh,Bhopal,www.manit.ac.in,1960,Urban,manit
U-0858,P.K. UNIVERSITY,Madhya Pradesh,Shivpuri,pkuniversity.edu.in,2015,Rural,pkuniversity
U-0276,"Jiwaji University, Gwalior",Madhya Pradesh,Gwalior,www.jiwaji.edu,1964,Urban,jiwaji
U-0274,"Jawaharlal Nehru Krishi Vishwavidyalaya, Jabalpur",Madhya Pradesh,Jabalpur,www.jnkvv.org,1964,Urban,jnkvv
U-0755,SARVEPALLI RADHAKRISHNAN UNIVERSITY,Madhya Pradesh,Bhopal,www.srku.edu.in,2015,Urban,srku
U-0273,"Indian Institute of Technology, Indore",Madhya Pradesh,Indore,www.iiti.ac.in,2009,Urban,iiti
U-0272,"Indian Institute of Science Education & Research (IISER), Bhopal",Madhya Pradesh,Bhopal,www.iiserb.ac.in,2008,Urban,iiserb
U-0270,"Devi Ahilya Vishwavidyalaya, Indore",Madhya Pradesh,Indore,www.dauniv.ac.in,1964,Urban,dauniv
U-1395,Krantivir Tatya Tope Vishwavidyalaya,Madhya Pradesh,Guna,,-,Rural,kratattop
U-0810,MAHARAJA CHHATRASAL BUNDELKHAND UNIVERSITY,Madhya Pradesh,Chhatarpur,mcbu.ac.in,2014,Urban,mcbu
U-0277,"Lakshmibai National Institute of Physical Education, Gwalior",Madhya Pradesh,Gwalior,www.lnipe.edu.in,1957,Urban,lnipe
U-0728,"SRI SATYA SAI UNIVERSITY OF TECHNOLOGY & MEDICAL SCIENCES, SEHORE",Madhya Pradesh,Sehore,www.sssutms.co.in,2013,Rural,sssutms
U-0271,"Dr. Harisingh Gaur  Vishwavidyalaya, Sagar",Madhya Pradesh,Sagar,www.dhsgsu.edu.in,1946,Urban,dhsgsu
U-0269,"Barkatullah University, Bhopal",Madhya Pradesh,Bhopal,www.bubhopal.ac.in,1970,Urban,bubhopal
U-0650,"AKS UNIVERSITY, SATNA",Madhya Pradesh,Satna,www.aksuniversity.ac.in,2011,Rural,aksuniversity
U-0648,"ITM UNIVERSITY, GWALIOR",Madhya Pradesh,Gwalior,www.itmuniversity.ac.in,2011,Urban,itmuniversity1
U-0268,"Awadesh Pratap Singh University, Rewa",Madhya Pradesh,Rewa,www.apsurewa.ac.in,1968,Urban,apsurewa
U-1131,MAHAKAUSHAL UNIVERSITY,Madhya Pradesh,Jabalpur,www.mku.ac.in,2021,Rural,mku
U-1143,DR B R AMBEDKAR UNIVERSITY OF SOCIAL SCIENCES,Madhya Pradesh,Indore,brauss.mp.gov.in,2015,Rural,brauss
U-1167,SRI AUROBINDO UNIVERSITY,Madhya Pradesh,Indore,www.sriaurobindounivesity.com,2020,Urban,sriaurobindounivesity
U-0813,LNCT UNIVERSITY,Madhya Pradesh,Bhopal,www.lnctu.ac.in,2015,Urban,lnctu
U-1012,INDIAN INSTITUTE OF MANAGEMENT INDORE,Madhya Pradesh,Indore,www.iimidr.ac.in,1996,Urban,iimidr
U-1326,Amaltas University,Madhya Pradesh,Dewas,amaltasuniversity.in ,-,Rural,amaltasuniversity
U-1023,MANSAROVAR GLOBAL UNIVERSITY,Madhya Pradesh,Sehore,www.mguindia.com,2018,Rural,mguindia
U-1024,SHRI KRISHNA UNIVERSITY,Madhya Pradesh,Chhatarpur,www.skuindia.ac.in,2018,Rural,skuindia
U-0291,"Vikram University, Ujjain",Madhya Pradesh,Ujjain,www.vikramuniv.net,1956,Urban,vikramuniv
U-1329,Madhav Institute of Technology and Science,Madhya Pradesh,Gwalior,www.mitsgwalior.in,-,Urban,mitsgwalior
U-0652,RKDF UNIVERSITY,Madhya Pradesh,Bhopal,www.rkdf.ac.in,2011,Urban,rkdf
U-0996,"MADHYA PRADESH AYURVIGYAN VISHWAVIDHLAYA, JABALPUR",Madhya Pradesh,Jabalpur,www.mpmsu.edu.in,2011,Urban,mpmsu
U-1333,"NATIONAL INSTITUTE OF TECHNICAL TEACHERS' TRAINING & RESEARCH, BHOPAL",Madhya Pradesh,Bhopal,,-,Urban,natinsof
U-1334,"INDIAN INSTITUTE OF FOREST MANAGEMENT, BHOPAL",Madhya Pradesh,Bhopal,www.iifm.ac.in,-,Urban,iifm
U-0994,Dr. C.V RAMAN UNIVERSITY,Madhya Pradesh,Khandwa (East Nimar),www.cvrump.ac.in,2018,Rural,cvrump
U-0275,"Jaypee University of Engineering & Technology, Guna",Madhya Pradesh,Guna,www.juet.ac.in,2003,Rural,juet
U-1193,INDIAN INSTITUTE OF INFORMATION TECHNOLOGY,Madhya Pradesh,Bhopal,www.iiitbhopal.ac.in,2017,Urban,iiitbhopal
U-0283,"Makhanlal Chaturvedi National University of Journalism and Communication, Bhopal",Madhya Pradesh,Bhopal,www.mcu.ac.in,1990,Urban,mcu1
U-0281,"Maharshi Panini Sanskrit Evam Vedic Vishwavidyalaya, Ujjain",Madhya Pradesh,Ujjain,www.mpsvv.ac.in,2008,Rural,mpsvv
U-0278,"Madhya Pradesh Bhoj Open University, Bhopal",Madhya Pradesh,Bhopal,mpbou.edu.in,1991,Urban,mpbou
U-0928,"Pandit S.N. Shukla University, Shahdol",Madhya Pradesh,Shahdol,ptsnsuniversity.ac.in,2017,Rural,ptsnsuniversity
U-0280,Maharishi  Mahesh Yogi Vedic Vishwavidyalaya,Madhya Pradesh,Katni,www.mmyvv.com,1995,Rural,mmyvv
U-1084,CHHINDWARA UNIVERSITY,Madhya Pradesh,Chhindwara,www.cuc.ac.in,2019,Urban,cuc1
U-0977,G.H. RAISONI UNIVERSITY,Madhya Pradesh,Chhindwara,www.ghru.edu.in,2016,Rural,ghru
U-0651,ATAL BIHARI VAJPAYEE HINDI VISHWAVIDYALAYA,Madhya Pradesh,Bhopal,www.abvhv.edu.in,2011,Urban,abvhv
U-1269,DR PREETI GLOBAL UNIVERSITY,Madhya Pradesh,Shivpuri,www.drpreetiglobaluniversity.com,-,Rural,drpreetiglobaluniversity
U-0923,"VIT Bhopal University, Sehore",Madhya Pradesh,Sehore,www.vitbhopal.ac.in,2017,Rural,vitbhopal
U-0921,"Symbiosis University of Applied Sciences, Indore",Madhya Pradesh,Indore,www.suas.ac.in,2016,Urban,suas
U-0959,AVANTIKA UNIVERSITY,Madhya Pradesh,Ujjain,www.avantikauniversity.edu.in,2017,Rural,avantikauniversity
U-0969,SANCHI UNIVERSITY OF BUDDHIST-INDIC STUDIES,Madhya Pradesh,Raisen,www.sanchiuniv.edu.in,2012,Rural,sanchiuniv
U-0290,"Indira Gandhi National Tribal University, Amarkantak",Madhya Pradesh,Anuppur,www.igntu.ac.in,2008,Rural,igntu
U-0916,SAGE UNIVERSITY,Madhya Pradesh,Indore,www.sageuniversity.in,2017,Urban,sageuniversity
U-0662,"ORIENTAL UNIVERSITY,INDORE",Madhya Pradesh,Indore,www.oui.edu.in,2011,Rural,oui
U-1383,Rani Awantibai Lodhi Vishwavidyalaya Sagar,Madhya Pradesh,Sagar,,-,Urban,ranawalod
U-0656,RABINDRANATH TAGORE UNIVERSITY,Madhya Pradesh,Raisen,www.rntu.ac.in,2010,Rural,rntu
U-1093,"SARDAR PATEL UNIVERSITY, BALAGHAT",Madhya Pradesh,Balaghat,www.spubgt.ac.in,2018,Rural,spubgt
U-0960,MALWANCHAL UNIVERSITY,Madhya Pradesh,Indore,www.malwanchaluniversity.com,2015,Rural,malwanchaluniversity
U-0958,DHARMASHASTRA NATIONAL LAW UNIVERSITY,Madhya Pradesh,Jabalpur,www.mpdnlu.ac.in,2018,Urban,mpdnlu
U-0727,"JAGRAN LAKECITY UNIVERSITY, BHOPAL",Madhya Pradesh,Bhopal,www.jlu.edu.in,2013,Rural,jlu
U-1094,NATIONAL INSTITUTE OF DESIGN (NID) MADHYA PRADESH,Madhya Pradesh,Bhopal,nidmp.ac.in,2019,Rural,nidmp
U-1098,SANJEEV AGARWAL GLOBAL EDUCATIONAL UNIVERSITY BHOPAL,Madhya Pradesh,Bhopal,www.sageuniversity.edu.in,2019,Urban,sageuniversity1
U-1099,EKLAVYA UNIVERSITY,Madhya Pradesh,Damoh,www.eklavyauniversity.ac.in,2020,Rural,eklavyauniversity
U-1285,AZIM PREMJI UNIVERSITY,Madhya Pradesh,Bhopal,azimpremjiuniversity.edu.inbhopal,-,Rural,azimpremjiuniversity1
U-0604,"Amity University, Gwalior",Madhya Pradesh,Gwalior,www.amity.edugwalior,2010,Urban,amity5
U-1121,SAM GLOBAL UNIVERSITY,Madhya Pradesh,Raisen,www.samglobaluniversity.ac.in,2019,Rural,samglobaluniversity
U-1343,J N C T Professional University,Madhya Pradesh,Bhopal,www.jnctpu.edu.in,-,Urban,jnctpu
U-1303,PRESTIGE UNIVERSITY,Madhya Pradesh,Indore,prestigeuniversity.edu.in,-,Rural,prestigeuniversity
U-0905,Shri Vaishnav Vidyapeeth Vishwavidyalaya,Madhya Pradesh,Indore,www.svvv.edu.in,2015,Urban,svvv
U-1344,Gyanodaya University,Madhya Pradesh,Neemuch,gyanodayauniversity.ac.in,-,Rural,gyanodayauniversity
U-0943,"Bhabha University, Bhopal",Madhya Pradesh,Bhopal,www.bhabhauniversity.edu.in,2018,Urban,bhabhauniversity
U-0941,Madhyanchal Professional University,Madhya Pradesh,Bhopal,www.mpu.ac.in,2018,Rural,mpu
U-0940,Renaissance University,Madhya Pradesh,Indore,renaissance.ac.in,2018,Urban,renaissance
U-1301,SHUBHAM UNIVERSITY,Madhya Pradesh,Bhopal,www.shubhamuniversity.com,-,Rural,shubhamuniversity
U-0286,"Pandhi Dwarka Prasad Mishra Indian Institute of Information Technology & Manufacturing , Jabalpur",Madhya Pradesh,Jabalpur,www.iiitdmj.ac.in,2005,Urban,iiitdmj
U-1267,VIKRANT UNIVERSITY,Madhya Pradesh,Gwalior,vikrantuniversity.ac.in,-,Rural,vikrantuniversity
U-0626,"School of Planning & Architecture, Bhopal",Madhya Pradesh,Bhopal,www.spabhopal.ac.in,2008,Urban,spabhopal
U-1236,LNCT VIDHYAPEETH UNIVERSITY,Madhya Pradesh,Indore,www.lnctvu.ac.in,-,Urban,lnctvu
U-0834,MEDI-CAPS UNIVERSITY,Madhya Pradesh,Indore,www.medicaps.ac.in,2015,Rural,medicaps
U-0883,MANDSAUR UNIVERSITY,Madhya Pradesh,Mandsaur,www.meu.edu.in,2016,Urban,meu
U-0877,Sandip University,Maharashtra,Nashik,www.sandipuniversity.edu.in,2015,Rural,sandipuniversity1
U-0330,"Tata Institute of Fundamental Research, Mumbai",Maharashtra,Mumbai,www.tifr.res.in,1945,Urban,tifr
U-1101,MGM UNIVERSITY,Maharashtra,Chhatrapati Sambhajinagar,www.mgmu.ac.in ,2019,Urban,mgmu
U-1151,Hyderabad (SIND) National Collegiate University,Maharashtra,Mumbai,www.hsncu.edu.in,2019,Urban,hsncu
U-0891,"MIT Art, Design and Technology University, Pune",Maharashtra,Pune,www.mituniversity.ac.in,2015,Rural,mituniversity
U-0915,"Maharashtra National Law University, Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,mnlua.ac.in,2014,Urban,mnlua
U-0300,"Dr. Balasaheb Sawant Konkan Krishi Vidyaapeeth,(former Konkan Krishi Vidyapeeth) Ratnagiri",Maharashtra,Ratnagiri,www.dbskkv.org,1972,Rural,dbskkv
U-0315,"Mahatma Phule Krishi Vidyapeeth, Rahuri",Maharashtra,Ahmednagar,www.mpkv.ac.in,1968,Rural,mpkv
U-0292,"Bharati Vidyapeeth, Pune",Maharashtra,Pune,www.bvuniversity.edu.in,1964,Urban,bvuniversity
U-0293,"Central Institute of Fisheries Education, Fishries University, Mumbai",Maharashtra,Mumbai,www.cife.edu.in,1961,Urban,cife
U-0294,"D.Y. Patil Educational Society , Kolhapur",Maharashtra,Kolhapur,www.dypatilunikop.org,1989,Urban,dypatilunikop
U-0297,"Defence Institute of Advanced Technology, Girinagar, Pune",Maharashtra,Pune,www.diat.ac.in,1952,Rural,diat
U-0307,"Indira Gandhi Institute of Development Research, Mumbai",Maharashtra,Mumbai,www.igidr.ac.in,1987,Urban,igidr
U-0308,"Institute of Chemical Technology, Mumbai",Maharashtra,Mumbai,www.ictmumbai.edu.in,1933,Urban,ictmumbai
U-0309,"International Institute for Population Sciences, Mumbai",Maharashtra,Mumbai,www.iipsindia.ac.in,1956,Urban,iipsindia
U-0331,"Tata Institute of Social Sciences, Mumbai",Maharashtra,Mumbai,www.tiss.ac.in,1936,Urban,tiss
U-0304,"Homi Bhabha National Institute, Mumbai",Maharashtra,Mumbai,www.hbni.ac.in,2005,Urban,hbni
U-0298,"Dr. Babasaheb Ambedkar Marathwada University, Aurangabad",Maharashtra,Chhatrapati Sambhajinagar,www.bamu.ac.in,1958,Urban,bamu
U-0299,"Dr. Babasaheb Ambedkar Technological University, Lonere",Maharashtra,Raigad,www.dbatu.ac.in,1989,Rural,dbatu
U-0301,"Dr. D.Y.Patil Vidyapeeth, Pune",Maharashtra,Pune,www.dpu.edu.in,2003,Urban,dpu
U-0303,"Gokhale Institute of Politics & Economics, Pune",Maharashtra,Pune,www.gipe.ac.in,1930,Urban,gipe
U-0306,"Indian Institute of Technology, Mumbai",Maharashtra,Mumbai,www.iitb.ac.in,1958,Urban,iitb
U-0310,"Kavi Kulguru Kalidas Sanskrit Vishwavidyalaya, Ramtek",Maharashtra,Nagpur,www.kksanskrituni.digitaluniversity.ac,1997,Rural,kksanskrituni
U-0312,"Maharashtra Animal & Fishery Sciences University, Nagpur",Maharashtra,Nagpur,www.mafsu.in,2000,Urban,mafsu
U-0317,"MGM Institute of Health Sciences, Navi  Mumbai",Maharashtra,Raigad,www.mgmuhs.com,1989,Urban,mgmuhs
U-0321,"Padmashree Dr. D. Y. Patil Vidyapeeth, , Mumbai",Maharashtra,Thane,www.dypatil.edu,2002,Urban,dypatil
U-0322,"Pravara Institute of Medical Sciences, Ahmednagar",Maharashtra,Ahmednagar,www.pravara.com,2003,Rural,pravara
U-0334,"Visvesvaraya National Institute of Technology, Nagpur",Maharashtra,Nagpur,www.vnit.ac.in,1960,Urban,vnit
U-0333,"Tilak Maharashtra Vidyapeeth, Pune",Maharashtra,Pune,www.tmv.edu.in,1921,Urban,tmv
U-0323,Savitribai Phule Pune University,Maharashtra,Pune,www.unipune.ac.in,1949,Urban,unipune
U-0314,"Mahatama Gandhi Antarrashtriya Hindi Vishwavidyalaya, Wardha",Maharashtra,Wardha,www.hindivishwa.org,1997,Rural,hindivishwa
U-0324,"Sant Gadge Baba Amravati University, Amravati",Maharashtra,Amravati,www.sgbau.ac.in,1983,Urban,sgbau
U-0325,"Shivaji University, Kolhapur",Maharashtra,Kolhapur,www.unishivaji.ac.in,1962,Urban,unishivaji
U-0328,"Swami Ramanand Teerth Marathwada University, Nanded",Maharashtra,Nanded,www.srtmun.ac.in,1994,Rural,srtmun
U-0316,"Vasantrao Naik Marathwada Krishi Vidyapeeth, Parbhani",Maharashtra,Parbhani,www.vnmkv.ac.in,1972,Urban,vnmkv
U-0318,University of Mumbai,Maharashtra,Mumbai,www.mu.ac.in,1857,Urban,mu
U-0327,"Punyashlok Ahilyadevi Holkar Solapur University, Solapur",Maharashtra,Solapur,www.sus.ac.in,2004,Urban,sus
U-0658,"GONDWANA UNIVERSITY, GADCHIROLI",Maharashtra,Gadchiroli,unigug.ac.in,2011,Urban,unigug
U-0305,"Indian Institute of Science Education & Research (IISER), Pune,",Maharashtra,Pune,www.iiserpune.ac.in,2006,Urban,iiserpune
U-0313,"Maharashtra University of Health Sciences, Nashik",Maharashtra,Nashik,www.muhs.ac.in,1998,Urban,muhs
U-0332,"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur",Maharashtra,Nagpur,www.nagpuruniversity.ac.in,1923,Urban,nagpuruniversity
U-0841,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, NAGPUR",Maharashtra,Nagpur,www.iiitn.ac.in,2016,Rural,iiitn
U-0804,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, PUNE",Maharashtra,Pune,www.iiitp.ac.in,2016,Urban,iiitp
U-0880,"Maharashtra National Law University,Nagpur",Maharashtra,Nagpur,www.nlunagpur.ac.in,2015,Urban,nlunagpur
U-0885,Ajeenkya D Y Patil University,Maharashtra,Pune,www.adypu.edu.in,2015,Urban,adypu
U-0886,Maharashtra National Law University Mumbai,Maharashtra,Mumbai Suburban,www.mnlumumbai.edu.in,2014,Urban,mnlumumbai
U-0888,VISHWAKARMA UNIVERSITY,Maharashtra,Pune,www.vupune.ac.in,2017,Urban,vupune
U-0938,Dr. Vishwanath Karad MIT World Peace University,Maharashtra,Pune,www.mitwpu.edu.in,2017,Urban,mitwpu
U-0973,"SANJAY GHODAWAT UNIVERSITY, KOLHAPUR",Maharashtra,Kolhapur,www.sanjayghodawatuniversity.ac.in,2017,Rural,sanjayghodawatuniversity
U-0320,"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon",Maharashtra,Jalgaon,www.nmu.ac.in,1990,Rural,nmu
U-0984,D Y PATIL INTERNATIONAL UNIVERSITY,Maharashtra,Pune,dypiu.ac.in,2018,Urban,dypiu
U-0987,CHHATRAPATI SHIVAJI MAHARAJ UNIVERSITY,Maharashtra,Raigad,www.csmu.ac.in,2018,Rural,csmu
U-0992,SPICER ADVENTIST UNIVERSITY,Maharashtra,Pune,sau.edu.in,2014,Urban,sau1
U-0995,AMITY UNIVERSITY MUMBAI,Maharashtra,Raigad,www.amity.edu,2014,Rural,amity6
U-1018,"INDIAN INSTITUTE OF MANAGEMENT, NAGPUR",Maharashtra,Nagpur,www.iimnagpur.ac.in,2015,Rural,iimnagpur
