Aishe_Code,Name,State,District,Website,Year_Of_Establishment,Location,Slug
U-0988,IILM UNIVERSITY,Haryana,Gurugram,www.iilm.edu.in,2018,Urban,iilm
U-1109,RISHIHOOD UNIVERSITY,Haryana,Sonipat,www.rishihood.edu.in,2020,Rural,rishihood
U-0800,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, SONIPAT",Haryana,Sonipat,iiitsonepat.ac.in,2014,Rural,iiitsonepat
U-0744,ASHOKA UNIVERSITY,Haryana,Sonipat,www.ashoka.edu.in,2014,Urban,ashoka
U-0169,Manav Rachna International Institute of Research & Studies,Haryana,Faridabad,www.mriirs.edu.in,2009,Urban,mriirs
U-0667,Sushant University,Haryana,Gurugram,www.sushantuniversity.edu.in,2012,Urban,sushantuniversity
U-1341,Sanskaram University,Haryana,Jhajjar,sanskaramuniversity.ac.in,-,Rural,sanskaramuniversity
U-0666,BABA MASTNATH UNIVERSITY,Haryana,Rohtak,www.bmu.ac.in,2012,Rural,bmu1
U-0797,"INDIAN INSTITUTE OF INFORMATION TECHNOLOGY, UNA",Himachal Pradesh,Una,www.iiitu.ac.in,2014,Urban,iiitu
U-0190,"Shoolini University of Bio Technology and Management Sciences, Oachghat, Solan",Himachal Pradesh,Solan,www.shooliniuniversity.com,2009,Rural,shooliniuniversity
U-0176,"Arni University, Katgarh (Indora), Kangra",Himachal Pradesh,Kangra,www.arniuniversity.edu.in,2009,Rural,arniuniversity
U-0179,"Chaudhary Sarwan Kumar Himachal Pardesh Krishi Vishvavidyalaya, Palampur",Himachal Pradesh,Kangra,www.hillagric.ac.in,1966,Rural,hillagric
U-0695,"INSTITUTE OF CHARTERED FINANCIAL ANALYSTS OF INDIA UNIVERSITY, SOLAN",Himachal Pradesh,Solan,www.iuhimachal.edu.in,2011,Rural,iuhimachal
U-0599,"Sri Sai University, Palampur",Himachal Pradesh,Kangra,www.srisaiuniversity.org,2010,Rural,srisaiuniversity
U-1218,"ALL INDIA INSTITUTE OF MEDICAL SCIENCE, BILASPUR",Himachal Pradesh,Bilaspur,aiimsbilaspur.edu.in,2019,Rural,aiimsbilaspur
U-0671,MAHARAJA AGRASEN UNIVERSITY,Himachal Pradesh,Solan,www.mau.ac.in,2012,Rural,mau
U-0184,"Indian Institute of Technology, Mandi",Himachal Pradesh,Mandi,www.iitmandi.ac.in,2009,Rural,iitmandi
U-0180,"Chitkara University, Kalu Jhanda (Barotiwala), Solan",Himachal Pradesh,Solan,www.chitkarauniversity.edu.in,2008,Rural,chitkarauniversity
U-0186,"Jaypee University of Information Technology, Waknaghat, Solan",Himachal Pradesh,Solan,www.juit.ac.in,2002,Rural,juit
U-0189,"National Institute of Technology, Hamirpur",Himachal Pradesh,Hamirpur,www.nith.ac.in,1986,Urban,nith
U-0187,"Maharashi Markandeshwar University, Solan",Himachal Pradesh,Solan,www.mmusolan.org,2010,Rural,mmusolan
U-0761,ABHILASHI UNIVERSITY,Himachal Pradesh,Mandi,www.abhilashiuniversity.ac.in,2014,Rural,abhilashiuniversity
U-0183,"Himachal Pradesh University , Shimla",Himachal Pradesh,Shimla,www.hpuniv.ac.in,1970,Urban,hpuniv
U-1136,ATAL MEDICAL AND RESEARCH UNIVERSITY,Himachal Pradesh,Mandi,www.amruhp.ac.in,2017,Rural,amruhp
U-0598,"Himachal Pradesh Technical University, Hamirpur",Himachal Pradesh,Hamirpur,www.himtu.ac.in,2010,Rural,himtu
U-0178,"Central University of Himachal Pradesh, Dharmshala, Kangra",Himachal Pradesh,Kangra,www.cuhimachal.ac.in,2009,Rural,cuhimachal
U-0694,"CAREER POINT UNIVERSITY, HAMIRPUR",Himachal Pradesh,Hamirpur,www.cpuh.in,2012,Rural,cpuh
U-1106,Sardar Patel University,Himachal Pradesh,Mandi,spumandi.ac.in,2018,Urban,spumandi
U-0696,IEC (INDIA EDUCATION CENTRE) UNIVERSITY,Himachal Pradesh,Solan,www.iecuniversity.com,2012,Rural,iecuniversity
U-1035,HIMACHAL PRADESH NATIONAL LAW UNIVERSITY SHIMLA,Himachal Pradesh,Shimla,www.hpnlu.ac.in,2016,Rural,hpnlu
U-0177,"Baddi University of Emerging Sciences and Technology, Baddi (Makhnumajra), Solan",Himachal Pradesh,Solan,www.baddiuniv.ac.in,2002,Rural,baddiuniv
U-0181,"Dr. Y.S. Parmar University of Horticulture and Forestry, Solan",Himachal Pradesh,Solan,www.yspuniversity.ac.in,1985,Rural,yspuniversity
U-0182,"Eternal University, Baru Sahib Sirmour",Himachal Pradesh,Sirmaur,www.eternaluniversity.edu.in,2008,Rural,eternaluniversity
U-0185,"Indus International University, Bathu, Una",Himachal Pradesh,Una,www.iiuedu.in,2009,Rural,iiuedu
U-1005,INDIAN INSTITUTE OF MANAGEMENT SIRMAUR,Himachal Pradesh,Sirmaur,www.iimsirmaur.ac.in,2015,Rural,iimsirmaur
U-0697,A P GOYAL SHIMLA UNIVERSITY,Himachal Pradesh,Shimla,www.agu.ebu.in,2012,Rural,agu
U-0597,"Bahra University, Solan",Himachal Pradesh,Solan,www.bahrauniversity.edu.in,2010,Rural,bahrauniversity
U-0906,Indian Institute of Technology Jammu,Jammu and Kashmir,Jammu,iitjammu.ac.in,2016,Rural,iitjammu
U-0201,"Shri Mata Vaishno Devi University, Jammu",Jammu and Kashmir,Reasi,www.smvdu.ac.in,1999,Rural,smvdu
U-0193,"Central University of Kashmir, Srinagar",Jammu and Kashmir,Srinagar,www.cukashmir.ac.in,2009,Rural,cukashmir
U-0191,"Baba Ghulam Shah Badshah University,  Jammu",Jammu and Kashmir,Rajouri,www.bgsbu.ac.in,2002,Rural,bgsbu
